date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:41	122/122	---M-Z	200	added ('OK')	text/plain	date:Mon,%2010%20Jul%202023%2004:51:34%20GMT	https://accessories-shop.cmsmasters.net/robots.txt		(from )
11:51:42	169331/169331	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jul%202023%2004:51:34%20GMT	https://accessories-shop.cmsmasters.net/landing/	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/landing/index.html	(from )
11:51:42	24702/24702	---M-Z	200	added ('OK')	text/css	etag:%22607e-5ff04453a627f-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/instagram-feed/css/sbi-styles.min.css?ver=6.1.5	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/instagram-feed/css/sbi-styles.minb5e1.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:43	27631/27631	---M-Z	200	added ('OK')	text/css	etag:%226bef-5ff044c6e5d78-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider.css?ver=7.7.8	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/LayerSlider/assets/static/layerslider/css/layerslider91f9.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:43	97517/97517	---M-Z	200	added ('OK')	text/css	etag:%2217ced-5ff045028f2a4-gzip%22	https://accessories-shop.cmsmasters.net/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-includes/css/dist/block-library/style.min3781.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:44	10435/10435	---M-Z	200	added ('OK')	text/css	etag:%2228c3-5ff0459000dae-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=10.2.3	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-stylefc14.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:45	267106/267106	---M-Z	200	added ('OK')	text/css	etag:%2241362-5ff0458fffe0e-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=10.2.3	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-stylefc14.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:45	2630/2630	---M-Z	200	added ('OK')	text/css	etag:%22a46-5ff0459cea7e9-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox.css?ver=1.2.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/jquery.selectBox7359.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:45	30603/30603	---M-Z	200	added ('OK')	text/css	etag:%22778b-5ff0459cea7e9-gzip%22	https://accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome.css?ver=4.7.0	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/yith-woocommerce-wishlist/assets/css/font-awesome1849.css	(from https://accessories-shop.cmsmasters.net/landing/)
11:51:46	9234/9234	---M-Z	200	added ('OK')	text/css	etag:%222412-5ff0458fc1610-gzip%22	http://accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/assets/css/prettyPhoto.css?ver=3.1.6	C:/Users/ega48/OneDrive/Dokumen/HTTRACK/Template/accessories-shop.cmsmasters.net/wp-content/plugins/woocommerce/assets/css/prettyPhoto005e.css	(from https://accessories-shop.cmsmasters.net/landing/)
